chart_type,file,source_path,problem_codes,model_axis_diff_codes,x_axis_type,x_gt_axis_type,y_axis_type,y_gt_axis_type,x_ticks,y_ticks,x_ticks_encrypted,y_ticks_encrypted,expected_x_ticks_encrypted,expected_y_ticks_encrypted,grid_path,encrypted_grid_path,ticks_json_path,error
line,line_017.png,f:\program\test-demo\backend\charts\line\line_017.png,,,text,text,numeric,numeric,2,9,2,17,2,17,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_017_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_017_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_017_ticks.json,
line,line_018.png,f:\program\test-demo\backend\charts\line\line_018.png,,,text,text,numeric,numeric,4,7,4,13,4,13,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_018_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_018_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_018_ticks.json,
line,line_019.png,f:\program\test-demo\backend\charts\line\line_019.png,,,text,text,numeric,numeric,4,10,4,19,4,19,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_019_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_019_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_019_ticks.json,
line,line_020.png,f:\program\test-demo\backend\charts\line\line_020.png,,,text,text,numeric,numeric,4,6,4,11,4,11,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_020_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_020_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_020_ticks.json,
line,line_021.png,f:\program\test-demo\backend\charts\line\line_021.png,,x_axis_type_diff_from_json,numeric,text,numeric,numeric,4,5,7,9,7,9,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_021_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_021_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_021_ticks.json,
line,line_022.png,f:\program\test-demo\backend\charts\line\line_022.png,,,text,text,numeric,numeric,5,6,5,11,5,11,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_022_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_022_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_022_ticks.json,
line,line_023.png,f:\program\test-demo\backend\charts\line\line_023.png,,,text,text,numeric,numeric,3,7,3,13,3,13,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_023_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_023_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_023_ticks.json,
line,line_024.png,f:\program\test-demo\backend\charts\line\line_024.png,,,text,text,numeric,numeric,3,7,3,13,3,13,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_024_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_024_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_024_ticks.json,
line,line_025.png,f:\program\test-demo\backend\charts\line\line_025.png,,,text,text,numeric,numeric,7,9,7,17,7,17,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_025_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_025_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_025_ticks.json,
line,line_027.png,f:\program\test-demo\backend\charts\line\line_027.png,,,text,text,numeric,numeric,9,6,9,11,9,11,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_027_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_027_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_027_ticks.json,
line,line_028.png,f:\program\test-demo\backend\charts\line\line_028.png,,,text,text,numeric,numeric,8,6,8,11,8,11,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_028_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_028_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_028_ticks.json,
line,line_029.png,f:\program\test-demo\backend\charts\line\line_029.png,,,text,text,numeric,numeric,7,8,7,15,7,15,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_029_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_029_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_029_ticks.json,
line,line_030.png,f:\program\test-demo\backend\charts\line\line_030.png,,,text,text,numeric,numeric,2,7,2,13,2,13,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_030_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_030_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_030_ticks.json,
line,line_034.png,f:\program\test-demo\backend\charts\line\line_034.png,,,text,text,numeric,numeric,7,8,7,15,7,15,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_034_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_034_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_034_ticks.json,
line,line_035.png,f:\program\test-demo\backend\charts\line\line_035.png,,x_axis_type_diff_from_json,numeric,text,numeric,numeric,2,7,3,13,3,13,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_035_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_035_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_035_ticks.json,
line,line_036.png,f:\program\test-demo\backend\charts\line\line_036.png,,,text,text,numeric,numeric,3,7,3,13,3,13,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_036_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_036_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_036_ticks.json,
line,line_037.png,f:\program\test-demo\backend\charts\line\line_037.png,,,text,text,numeric,numeric,3,7,3,13,3,13,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_037_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_037_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_037_ticks.json,
line,line_038.png,f:\program\test-demo\backend\charts\line\line_038.png,,,text,text,numeric,numeric,3,9,3,17,3,17,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_038_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_038_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_038_ticks.json,
line,line_039.png,f:\program\test-demo\backend\charts\line\line_039.png,,,text,text,numeric,numeric,3,8,3,15,3,15,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_039_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_039_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_039_ticks.json,
line,line_040.png,f:\program\test-demo\backend\charts\line\line_040.png,,,text,text,numeric,numeric,3,8,3,15,3,15,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_040_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_040_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_040_ticks.json,
line,line_041.png,f:\program\test-demo\backend\charts\line\line_041.png,,,text,text,numeric,numeric,7,8,7,15,7,15,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_041_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_041_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_041_ticks.json,
line,line_042.png,f:\program\test-demo\backend\charts\line\line_042.png,,x_axis_type_diff_from_json,numeric,text,numeric,numeric,6,8,11,15,11,15,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_042_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_042_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_042_ticks.json,
line,line_043.png,f:\program\test-demo\backend\charts\line\line_043.png,,x_axis_type_diff_from_json,numeric,text,numeric,numeric,5,6,9,11,9,11,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_043_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_043_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_043_ticks.json,
line,line_044.png,f:\program\test-demo\backend\charts\line\line_044.png,,,text,text,numeric,numeric,5,8,5,15,5,15,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_044_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_044_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_044_ticks.json,
line,line_046.png,f:\program\test-demo\backend\charts\line\line_046.png,,,text,text,numeric,numeric,9,5,9,9,9,9,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_046_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_046_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_046_ticks.json,
line,line_047.png,f:\program\test-demo\backend\charts\line\line_047.png,,,text,text,numeric,numeric,8,7,8,13,8,13,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_047_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_047_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_047_ticks.json,
line,line_048.png,f:\program\test-demo\backend\charts\line\line_048.png,,,text,text,numeric,numeric,4,8,4,15,4,15,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_048_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_048_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_048_ticks.json,
line,line_049.png,f:\program\test-demo\backend\charts\line\line_049.png,,,text,text,numeric,numeric,7,5,7,9,7,9,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_049_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_049_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_049_ticks.json,
line,line_051.png,f:\program\test-demo\backend\charts\line\line_051.png,,,text,text,numeric,numeric,9,5,9,9,9,9,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_051_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_051_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_051_ticks.json,
line,line_052.png,f:\program\test-demo\backend\charts\line\line_052.png,,,text,text,numeric,numeric,13,6,13,11,13,11,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_052_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_052_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_052_ticks.json,
line,line_053.png,f:\program\test-demo\backend\charts\line\line_053.png,,,text,text,numeric,numeric,9,6,9,11,9,11,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_053_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_053_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_053_ticks.json,
line,line_054.png,f:\program\test-demo\backend\charts\line\line_054.png,,,text,text,numeric,numeric,7,6,7,11,7,11,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_054_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_054_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_054_ticks.json,
line,line_055.png,f:\program\test-demo\backend\charts\line\line_055.png,,x_axis_type_diff_from_json,numeric,text,numeric,numeric,4,7,7,13,7,13,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_055_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_055_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_055_ticks.json,
line,line_058.png,f:\program\test-demo\backend\charts\line\line_058.png,,,text,text,numeric,numeric,8,7,8,13,8,13,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_058_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_058_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_058_ticks.json,
line,line_059.png,f:\program\test-demo\backend\charts\line\line_059.png,,,text,text,numeric,numeric,5,7,5,13,5,13,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_059_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_059_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_059_ticks.json,
line,line_060.png,f:\program\test-demo\backend\charts\line\line_060.png,,,text,text,numeric,numeric,5,7,5,13,5,13,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_060_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_060_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_060_ticks.json,
line,line_061.png,f:\program\test-demo\backend\charts\line\line_061.png,,,text,text,numeric,numeric,9,9,9,17,9,17,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_061_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_061_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_061_ticks.json,
line,line_062.png,f:\program\test-demo\backend\charts\line\line_062.png,,,text,text,numeric,numeric,4,8,4,15,4,15,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_062_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_062_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_062_ticks.json,
line,line_063.png,f:\program\test-demo\backend\charts\line\line_063.png,,,text,text,numeric,numeric,4,7,4,13,4,13,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_063_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_063_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_063_ticks.json,
line,line_064.png,f:\program\test-demo\backend\charts\line\line_064.png,,,text,text,numeric,numeric,9,9,9,17,9,17,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_064_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_064_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_064_ticks.json,
line,line_065.png,f:\program\test-demo\backend\charts\line\line_065.png,,x_axis_type_diff_from_json,numeric,text,numeric,numeric,12,5,23,9,23,9,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_065_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_065_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_065_ticks.json,
line,line_066.png,f:\program\test-demo\backend\charts\line\line_066.png,,x_axis_type_diff_from_json,numeric,text,numeric,numeric,5,9,9,17,9,17,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_066_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_066_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_066_ticks.json,
line,line_067.png,f:\program\test-demo\backend\charts\line\line_067.png,,,text,text,numeric,numeric,15,7,15,13,15,13,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_067_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_067_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_067_ticks.json,
line,line_068.png,f:\program\test-demo\backend\charts\line\line_068.png,,,text,text,numeric,numeric,3,8,3,15,3,15,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_068_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_068_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_068_ticks.json,
line,line_069.png,f:\program\test-demo\backend\charts\line\line_069.png,,,text,text,numeric,numeric,4,7,4,13,4,13,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_069_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_069_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_069_ticks.json,
line,line_070.png,f:\program\test-demo\backend\charts\line\line_070.png,,,text,text,numeric,numeric,10,9,10,17,10,17,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_070_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_070_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_070_ticks.json,
line,line_071.png,f:\program\test-demo\backend\charts\line\line_071.png,,,text,text,numeric,numeric,4,7,4,13,4,13,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_071_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_071_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_071_ticks.json,
line,line_072.png,f:\program\test-demo\backend\charts\line\line_072.png,,,text,text,numeric,numeric,4,7,4,13,4,13,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_072_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_072_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_072_ticks.json,
line,line_073.png,f:\program\test-demo\backend\charts\line\line_073.png,,,text,text,numeric,numeric,13,6,13,11,13,11,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_073_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_073_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_073_ticks.json,
line,line_074.png,f:\program\test-demo\backend\charts\line\line_074.png,,,text,text,numeric,numeric,8,6,8,11,8,11,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_074_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_074_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_074_ticks.json,
line,line_075.png,f:\program\test-demo\backend\charts\line\line_075.png,,,text,text,numeric,numeric,6,6,6,11,6,11,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_075_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_075_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_075_ticks.json,
line,line_076.png,f:\program\test-demo\backend\charts\line\line_076.png,,,text,text,numeric,numeric,9,9,9,17,9,17,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_076_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_076_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_076_ticks.json,
